,ts_code,symbol,name,area,industry,list_date
1678,300181.SZ,300181,佐力药业,浙江,中成药,20110222
1679,300182.SZ,300182,捷成股份,北京,影视音像,20110222
1680,300183.SZ,300183,东软载波,山东,通信设备,20110222
1681,300184.SZ,300184,力源信息,湖北,元器件,20110222
1682,300185.SZ,300185,通裕重工,山东,工程机械,20110308
1683,300187.SZ,300187,永清环保,湖南,环境保护,20110308
1684,300188.SZ,300188,美亚柏科,福建,软件服务,20110316
1685,300189.SZ,300189,神农科技,海南,种植业,20110316
1686,300190.SZ,300190,维尔利,江苏,环境保护,20110316
1687,300191.SZ,300191,潜能恒信,北京,石油开采,20110316
1688,300192.SZ,300192,科德教育,江苏,文教休闲,20110322
1689,300193.SZ,300193,佳士科技,深圳,专用机械,20110322
1690,300194.SZ,300194,福安药业,重庆,化学制药,20110322
1691,300195.SZ,300195,长荣股份,天津,轻工机械,20110329
1692,300196.SZ,300196,长海股份,江苏,玻璃,20110329
1693,300197.SZ,300197,节能铁汉,深圳,环境保护,20110329
1694,300198.SZ,300198,纳川股份,福建,塑料,20110407
1695,300199.SZ,300199,翰宇药业,深圳,化学制药,20110407
1696,300200.SZ,300200,高盟新材,北京,化工原料,20110407
1697,300201.SZ,300201,*ST海伦,江苏,专用机械,20110407
1698,300203.SZ,300203,聚光科技,浙江,环境保护,20110415
1699,300204.SZ,300204,舒泰神,北京,生物制药,20110415
1700,300205.SZ,300205,天喻信息,湖北,通信设备,20110421
1701,300206.SZ,300206,理邦仪器,深圳,医疗保健,20110421
1702,300207.SZ,300207,欣旺达,深圳,电气设备,20110421
1703,300208.SZ,300208,青岛中程,山东,电气设备,20110426
1704,300209.SZ,300209,有棵树,湖南,互联网,20110426
1705,300210.SZ,300210,森远股份,辽宁,专用机械,20110426
1706,300211.SZ,300211,亿通科技,江苏,通信设备,20110505
1707,300212.SZ,300212,易华录,北京,软件服务,20110505
1708,300213.SZ,300213,佳讯飞鸿,北京,通信设备,20110505
1709,300214.SZ,300214,日科化学,山东,化工原料,20110511
1710,300215.SZ,300215,电科院,江苏,电气设备,20110511
1711,300217.SZ,300217,东方电热,江苏,家用电器,20110518
1712,300218.SZ,300218,安利股份,安徽,塑料,20110518
1713,300219.SZ,300219,鸿利智汇,广东,元器件,20110518
1714,300220.SZ,300220,金运激光,湖北,专用机械,20110525
1715,300221.SZ,300221,银禧科技,广东,塑料,20110525
1716,300222.SZ,300222,科大智能,上海,电气设备,20110525
1717,300223.SZ,300223,北京君正,北京,半导体,20110531
1718,300224.SZ,300224,正海磁材,山东,矿物制品,20110531
1719,300225.SZ,300225,金力泰,上海,染料涂料,20110531
1720,300226.SZ,300226,上海钢联,上海,互联网,20110608
1721,300227.SZ,300227,光韵达,深圳,专用机械,20110608
1722,300228.SZ,300228,富瑞特装,江苏,化工机械,20110608
1723,300229.SZ,300229,拓尔思,北京,软件服务,20110615
1724,300230.SZ,300230,永利股份,上海,塑料,20110615
1725,300231.SZ,300231,银信科技,北京,软件服务,20110615
1726,300232.SZ,300232,洲明科技,深圳,半导体,20110622
1727,300233.SZ,300233,金城医药,山东,化学制药,20110622
1728,300234.SZ,300234,开尔新材,浙江,陶瓷,20110622
1729,300235.SZ,300235,方直科技,深圳,软件服务,20110629
1730,300236.SZ,300236,上海新阳,上海,半导体,20110629
1731,300237.SZ,300237,美晨生态,山东,汽车配件,20110629
1732,300238.SZ,300238,冠昊生物,广东,医疗保健,20110706
1733,300239.SZ,300239,东宝生物,内蒙,生物制药,20110706
1734,300240.SZ,300240,飞力达,江苏,仓储物流,20110706
1735,300241.SZ,300241,瑞丰光电,深圳,半导体,20110712
1736,300242.SZ,300242,佳云科技,广东,互联网,20110712
1737,300243.SZ,300243,瑞丰高材,山东,化工原料,20110712
1738,300244.SZ,300244,迪安诊断,浙江,医疗保健,20110719
1739,300245.SZ,300245,天玑科技,上海,软件服务,20110719
1740,300246.SZ,300246,宝莱特,广东,医疗保健,20110719
1741,300247.SZ,300247,融捷健康,安徽,医疗保健,20110729
1742,300248.SZ,300248,新开普,河南,软件服务,20110729
1743,300249.SZ,300249,依米康,四川,软件服务,20110803
1744,300250.SZ,300250,初灵信息,浙江,软件服务,20110803
1745,300251.SZ,300251,光线传媒,北京,影视音像,20110803
1746,300252.SZ,300252,金信诺,深圳,通信设备,20110818
1747,300253.SZ,300253,卫宁健康,上海,软件服务,20110818
1748,300254.SZ,300254,仟源医药,山西,化学制药,20110819
1749,300255.SZ,300255,常山药业,河北,生物制药,20110819
1750,300256.SZ,300256,ST星星,江西,元器件,20110819
1751,300257.SZ,300257,开山股份,上海,机械基件,20110819
1752,300258.SZ,300258,精锻科技,江苏,汽车配件,20110826
1753,300259.SZ,300259,新天科技,河南,电器仪表,20110831
1754,300260.SZ,300260,新莱应材,江苏,机械基件,20110906
1755,300261.SZ,300261,雅本化学,江苏,农药化肥,20110906
1756,300262.SZ,300262,巴安水务,上海,水务,20110916
1757,300263.SZ,300263,隆华科技,河南,专用机械,20110916
1758,300264.SZ,300264,佳创视讯,深圳,软件服务,20110916
1759,300265.SZ,300265,通光线缆,江苏,电气设备,20110916
1760,300266.SZ,300266,兴源环境,浙江,环境保护,20110927
1761,300267.SZ,300267,尔康制药,湖南,化学制药,20110927
1762,300268.SZ,300268,佳沃食品,湖南,农业综合,20110927
1763,300269.SZ,300269,联建光电,深圳,半导体,20111012
1764,300270.SZ,300270,中威电子,浙江,通信设备,20111012
1765,300271.SZ,300271,华宇软件,北京,软件服务,20111026
1766,300272.SZ,300272,开能健康,上海,家用电器,20111102
1767,300273.SZ,300273,*ST和佳,广东,医疗保健,20111026
1768,300274.SZ,300274,阳光电源,安徽,电气设备,20111102
1769,300275.SZ,300275,梅安森,重庆,工程机械,20111102
1770,300276.SZ,300276,三丰智能,湖北,专用机械,20111115
1771,300277.SZ,300277,海联讯,深圳,软件服务,20111123
1772,300278.SZ,300278,华昌达,湖北,专用机械,20111216
1773,300279.SZ,300279,和晶科技,江苏,元器件,20111229
1774,300280.SZ,300280,紫天科技,福建,广告包装,20111229
1775,300281.SZ,300281,金明精机,广东,专用机械,20111229
1776,300282.SZ,300282,ST三盛,北京,文教休闲,20111229
1777,300283.SZ,300283,温州宏丰,浙江,电气设备,20120110
1778,300284.SZ,300284,苏交科,江苏,建筑工程,20120110
1779,300285.SZ,300285,国瓷材料,山东,陶瓷,20120113
1780,300286.SZ,300286,安科瑞,上海,电器仪表,20120113
1781,300287.SZ,300287,飞利信,北京,软件服务,20120201
1782,300288.SZ,300288,朗玛信息,贵州,软件服务,20120216
1783,300289.SZ,300289,利德曼,北京,医疗保健,20120216
1784,300290.SZ,300290,荣科科技,辽宁,软件服务,20120216
1785,300291.SZ,300291,百纳千成,北京,影视音像,20120209
1786,300292.SZ,300292,吴通控股,江苏,软件服务,20120229
1787,300293.SZ,300293,蓝英装备,辽宁,专用机械,20120308
1788,300294.SZ,300294,博雅生物,江西,生物制药,20120308
1789,300295.SZ,300295,三六五网,江苏,互联网,20120315
1790,300296.SZ,300296,利亚德,北京,半导体,20120315
1791,300297.SZ,300297,*ST蓝盾,四川,软件服务,20120315
1792,300298.SZ,300298,三诺生物,湖南,医疗保健,20120319
1793,300299.SZ,300299,富春股份,福建,互联网,20120319
1794,300300.SZ,300300,海峡创新,福建,软件服务,20120319
1795,300301.SZ,300301,*ST长方,深圳,半导体,20120321
1796,300302.SZ,300302,同有科技,北京,软件服务,20120321
1797,300303.SZ,300303,聚飞光电,深圳,半导体,20120319
1798,300304.SZ,300304,云意电气,江苏,汽车配件,20120321
1799,300305.SZ,300305,裕兴股份,江苏,塑料,20120329
1800,300306.SZ,300306,远方信息,浙江,电器仪表,20120329
1801,300307.SZ,300307,慈星股份,浙江,纺织机械,20120329
1802,300308.SZ,300308,中际旭创,山东,通信设备,20120410
1803,300309.SZ,300309,*ST吉艾,北京,多元金融,20120410
1804,300310.SZ,300310,宜通世纪,广东,通信设备,20120425
1805,300311.SZ,300311,任子行,深圳,软件服务,20120425
1806,300313.SZ,300313,ST天山,新疆,农业综合,20120425
1807,300314.SZ,300314,戴维医疗,浙江,医疗保健,20120508
1808,300315.SZ,300315,掌趣科技,北京,互联网,20120511
1809,300316.SZ,300316,晶盛机电,浙江,专用机械,20120511
1810,300317.SZ,300317,珈伟新能,深圳,半导体,20120511
1811,300318.SZ,300318,博晖创新,北京,医疗保健,20120523
1812,300319.SZ,300319,麦捷科技,深圳,元器件,20120523
1813,300320.SZ,300320,海达股份,江苏,橡胶,20120601
1814,300321.SZ,300321,同大股份,山东,塑料,20120523
1815,300322.SZ,300322,硕贝德,广东,通信设备,20120608
1816,300323.SZ,300323,华灿光电,湖北,半导体,20120601
1817,300324.SZ,300324,旋极信息,北京,软件服务,20120608
1818,300326.SZ,300326,凯利泰,上海,医疗保健,20120613
1819,300327.SZ,300327,中颖电子,上海,半导体,20120613
1820,300328.SZ,300328,宜安科技,广东,小金属,20120619
1821,300329.SZ,300329,海伦钢琴,浙江,文教休闲,20120619
1822,300330.SZ,300330,*ST计通,上海,软件服务,20120619
1823,300331.SZ,300331,苏大维格,江苏,元器件,20120628
1824,300332.SZ,300332,天壕环境,北京,供气供热,20120628
1825,300333.SZ,300333,兆日科技,深圳,软件服务,20120628
1826,300334.SZ,300334,津膜科技,天津,水务,20120705
1827,300335.SZ,300335,迪森股份,广东,供气供热,20120710
1828,300336.SZ,300336,*ST新文,上海,影视音像,20120710
1829,300337.SZ,300337,银邦股份,江苏,铝,20120718
1830,300338.SZ,300338,ST开元,湖南,文教休闲,20120726
1831,300339.SZ,300339,润和软件,江苏,软件服务,20120718
1832,300340.SZ,300340,科恒股份,广东,电气设备,20120726
1833,300341.SZ,300341,麦克奥迪,福建,电气设备,20120726
1834,300342.SZ,300342,天银机电,江苏,家用电器,20120726
1835,300343.SZ,300343,联创股份,山东,化工原料,20120801
1836,300344.SZ,300344,立方数科,安徽,软件服务,20120801
1837,300345.SZ,300345,华民股份,湖南,机械基件,20120801
1838,300346.SZ,300346,南大光电,江苏,元器件,20120807
1839,300347.SZ,300347,泰格医药,浙江,医疗保健,20120817
1840,300348.SZ,300348,长亮科技,深圳,软件服务,20120817
1841,300349.SZ,300349,金卡智能,浙江,电器仪表,20120817
1842,300350.SZ,300350,华鹏飞,深圳,仓储物流,20120821
1843,300351.SZ,300351,永贵电器,浙江,运输设备,20120920
1844,300352.SZ,300352,北信源,北京,软件服务,20120912
1845,300353.SZ,300353,东土科技,北京,通信设备,20120927
1846,300354.SZ,300354,东华测试,江苏,电器仪表,20120920
1847,300355.SZ,300355,蒙草生态,内蒙,环境保护,20120927
1848,300356.SZ,300356,*ST光一,江苏,电气设备,20121009
1849,300357.SZ,300357,我武生物,浙江,生物制药,20140121
1850,300358.SZ,300358,楚天科技,湖南,医疗保健,20140121
1851,300359.SZ,300359,全通教育,广东,文教休闲,20140121
1852,300360.SZ,300360,炬华科技,浙江,电器仪表,20140121
1853,300363.SZ,300363,博腾股份,重庆,化学制药,20140129
1854,300364.SZ,300364,中文在线,北京,出版业,20150121
1855,300365.SZ,300365,恒华科技,北京,软件服务,20140123
1856,300366.SZ,300366,创意信息,四川,软件服务,20140127
1857,300368.SZ,300368,汇金股份,河北,IT设备,20140123
1858,300369.SZ,300369,绿盟科技,北京,软件服务,20140129
1859,300370.SZ,300370,*ST安控,四川,电器仪表,20140123
1860,300371.SZ,300371,汇中股份,河北,电器仪表,20140123
1861,300373.SZ,300373,扬杰科技,江苏,半导体,20140123
1862,300374.SZ,300374,中铁装配,北京,其他建材,20150319
1863,300375.SZ,300375,鹏翎股份,天津,汽车配件,20140127
1864,300376.SZ,300376,易事特,广东,电气设备,20140127
1865,300377.SZ,300377,赢时胜,深圳,软件服务,20140127
1866,300378.SZ,300378,鼎捷软件,上海,软件服务,20140127
1867,300379.SZ,300379,东方通,北京,软件服务,20140128
1868,300380.SZ,300380,安硕信息,上海,软件服务,20140128
1869,300381.SZ,300381,溢多利,广东,化学制药,20140128
1870,300382.SZ,300382,斯莱克,江苏,专用机械,20140129
1871,300383.SZ,300383,光环新网,北京,电信运营,20140129
1872,300384.SZ,300384,三联虹普,北京,建筑工程,20140801
1873,300385.SZ,300385,雪浪环境,江苏,环境保护,20140626
1874,300386.SZ,300386,飞天诚信,北京,软件服务,20140626
1875,300387.SZ,300387,富邦股份,湖北,农药化肥,20140702
1876,300388.SZ,300388,节能国祯,安徽,环境保护,20140801
1877,300389.SZ,300389,艾比森,深圳,半导体,20140801
1878,300390.SZ,300390,天华超净,江苏,电气设备,20140731
1879,300391.SZ,300391,康跃科技,山东,中成药,20140801
1880,300392.SZ,300392,*ST腾信,北京,互联网,20140910
1881,300393.SZ,300393,中来股份,江苏,塑料,20140912
1882,300394.SZ,300394,天孚通信,江苏,通信设备,20150217
1883,300395.SZ,300395,菲利华,湖北,玻璃,20140910
1884,300396.SZ,300396,迪瑞医疗,吉林,医疗保健,20140910
1885,300397.SZ,300397,天和防务,陕西,通信设备,20140910
